Clock,Away Play,Visiting Team Score,Team Logo,Home Team Score,Home Play,Score,Team Indicator,Play,Period
--,Foul on Centre College.,,,,,,,Foul on Centre College.,2
65:28:00,Centre College substitution: Brooke Smithson for Alana Hughes.,,,,,,,Centre College substitution: Brooke Smithson for Alana Hughes.,2
66:07:00,,,,,"Shot by Emory University Natalie Klar, High.",,,"Shot by Emory University Natalie Klar, High.",2
--,Foul on Centre College.,,,,,,,Foul on Centre College.,2
67:08:00,,,,,"Shot by Emory University Natalie Klar, Wide.",,,"Shot by Emory University Natalie Klar, Wide.",2
67:22:00,,,,,Emory University substitution: Kylie Hall for Melika Mohammadi.,,,Emory University substitution: Kylie Hall for Melika Mohammadi.,2
67:22:00,Centre College substitution: Annie Stauffer for Kristin Dean.,,,,,,,Centre College substitution: Annie Stauffer for Kristin Dean.,2
68:47:00,,,,,"Shot by Emory University Kylie Hall, Save (by goalie) Jonelle Barron.",,,"Shot by Emory University Kylie Hall, Save (by goalie) Jonelle Barron.",2
70:01:00,,,,,"Shot by Emory University Peyton Robertson, Save (by goalie) Jonelle Barron.",,,"Shot by Emory University Peyton Robertson, Save (by goalie) Jonelle Barron.",2
70:26:00,Centre College substitution: Sarah Sirkin for Meghan Paynter.,,,,,,,Centre College substitution: Sarah Sirkin for Meghan Paynter.,2
71:13:00,,,,,"Shot by Emory University Aubrey Blanchard, Team Save.",,,"Shot by Emory University Aubrey Blanchard, Team Save.",2
71:27:00,,,,,"Shot by Emory University Kylie Hall, Save (by goalie) Jonelle Barron.",,,"Shot by Emory University Kylie Hall, Save (by goalie) Jonelle Barron.",2
71:46:00,Centre College substitution: Kristin Dean for Averi Faulk.,,,,,,,Centre College substitution: Kristin Dean for Averi Faulk.,2
71:46:00,Centre College substitution: Meghan Paynter for Annie Stauffer.,,,,,,,Centre College substitution: Meghan Paynter for Annie Stauffer.,2
--,,,,,Foul on Emory University.,,,Foul on Emory University.,2
74:49:00,Centre College substitution: Alana Hughes for Rilee Britton.,,,,,,,Centre College substitution: Alana Hughes for Rilee Britton.,2
74:49:00,Centre College substitution: Elizabeth Nelson for Brooke Smithson.,,,,,,,Centre College substitution: Elizabeth Nelson for Brooke Smithson.,2
75:19:00,"Shot by Centre College Sarah Sirkin, Save (by goalie) Haley Pratt.",,,,,,,"Shot by Centre College Sarah Sirkin, Save (by goalie) Haley Pratt.",2
76:12:00,,,,,Emory University substitution: Arielle Williamson for Kylie Hall.,,,Emory University substitution: Arielle Williamson for Kylie Hall.,2
76:57:00,,,,,"Shot by Emory University Natalie Klar, Wide.",,,"Shot by Emory University Natalie Klar, Wide.",2
77:11:00,,,,,Emory University substitution: Caroline Kolski for Natalie Klar.,,,Emory University substitution: Caroline Kolski for Natalie Klar.,2
77:11:00,Centre College substitution: Averi Faulk for Taylor Gebhart.,,,,,,,Centre College substitution: Averi Faulk for Taylor Gebhart.,2
--,Foul on Centre College.,,,,,,,Foul on Centre College.,2
84:00:00,,,,,"Header Shot by Emory University Shivani Beall, Save (by goalie) Jonelle Barron.",,,"Header Shot by Emory University Shivani Beall, Save (by goalie) Jonelle Barron.",2
--,Foul on Centre College.,,,,,,,Foul on Centre College.,2
86:14:00,,,,,Emory University substitution: Samantha Agnew for Lindsey Breskow.,,,Emory University substitution: Samantha Agnew for Lindsey Breskow.,2
--,Foul on Centre College.,,,,,,,Foul on Centre College.,2
--,Foul on Centre College.,,,,,,,Foul on Centre College.,2
90:00:00,End of period [90:00].,,,,,,,End of period [90:00].,2
