Clock,Away - Description,Visiting Team Score,Home Team Score,Home - Description,Score,Play,Period,Goalkeeper,Corner Kick Team,Corner Kick Player,Shot Team,Shot Player,Shot Result,Substitution Team,Substitution In,Substitution Out,Goal Team,Goal Scorer,Goal Assister,First Goal
45:00:00,,,,"For Emory University: #23 Peyton Robertson, #10 Caroline Kolski, #12 Lauren Mahoney, #25 Kylie Hall, #7  Jordan Fitzgerald, #18 Arielle Williamson, #3  LJ Kolodge, #26 Shivani Beall, #24 Samantha Hilsee, #1  Haley Pratt, #6  Melika Mohammadi.",,"For Emory University: #23 Peyton Robertson, #10 Caroline Kolski, #12 Lauren Mahoney, #25 Kylie Hall, #7  Jordan Fitzgerald, #18 Arielle Williamson, #3  LJ Kolodge, #26 Shivani Beall, #24 Samantha Hilsee, #1  Haley Pratt, #6  Melika Mohammadi.",2,,,,,,,,,,,,,False
--,Foul on Centre College.,,,,,Foul on Centre College.,2,,,,,,,,,,,,,False
--,Foul on Centre College.,,,,,Foul on Centre College.,2,,,,,,,,,,,,,False
50:37:00,Centre College substitution: Taylor Gebhart for Sarah Sirkin.,,,,,Centre College substitution: Taylor Gebhart for Sarah Sirkin.,2,,,,,,,Centre College,Taylor Gebhart,Sarah Sirkin,,,,False
54:25:00,,,,"Shot by Emory University Arielle Williamson, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Arielle Williamson, Save (by goalie) Jonelle Barron.",2,,,,Emory,University Arielle Williamson,Save (by goalie) Jonelle Barron.,,,,,,,False
55:34:00,,,,"Shot by Emory University Samantha Hilsee, High.",,"Shot by Emory University Samantha Hilsee, High.",2,,,,Emory,University Samantha Hilsee,High.,,,,,,,False
55:41:00,,,,Emory University substitution: Aubrey Blanchard for Kylie Hall.,,Emory University substitution: Aubrey Blanchard for Kylie Hall.,2,,,,,,,Emory University,Aubrey Blanchard,Kylie Hall,,,,False
55:41:00,Centre College substitution: Rilee Britton for Elizabeth Nelson.,,,,,Centre College substitution: Rilee Britton for Elizabeth Nelson.,2,,,,,,,Centre College,Rilee Britton,Elizabeth Nelson,,,,False
57:50:00,,,,Offside against Emory University.,,Offside against Emory University.,2,,,,,,,,,,,,,False
--,Foul on Centre College.,,,,,Foul on Centre College.,2,,,,,,,,,,,,,False
58:45:00,,,,Emory University substitution: Lindsey Breskow for Arielle Williamson.,,Emory University substitution: Lindsey Breskow for Arielle Williamson.,2,,,,,,,Emory University,Lindsey Breskow,Arielle Williamson,,,,False
60:00:00,,,,"Shot by Emory University Lindsey Breskow, High.",,"Shot by Emory University Lindsey Breskow, High.",2,,,,Emory,University Lindsey Breskow,High.,,,,,,,False
61:14:00,,,,"Shot by Emory University Caroline Kolski, Wide.",,"Shot by Emory University Caroline Kolski, Wide.",2,,,,Emory,University Caroline Kolski,Wide.,,,,,,,False
--,,,,Foul on Emory University.,,Foul on Emory University.,2,,,,,,,,,,,,,False
62:20:00,"Shot by Centre College Meghan Paynter, High.",,,,,"Shot by Centre College Meghan Paynter, High.",2,,,,Centre,College Meghan Paynter,High.,,,,,,,False
62:59:00,,,,Emory University substitution: Natalie Klar for Caroline Kolski.,,Emory University substitution: Natalie Klar for Caroline Kolski.,2,,,,,,,Emory University,Natalie Klar,Caroline Kolski,,,,False
--,,,,Foul on Emory University.,,Foul on Emory University.,2,,,,,,,,,,,,,False
--,Foul on Centre College.,,,,,Foul on Centre College.,2,,,,,,,,,,,,,False
65:28:00,Centre College substitution: Brooke Smithson for Alana Hughes.,,,,,Centre College substitution: Brooke Smithson for Alana Hughes.,2,,,,,,,Centre College,Brooke Smithson,Alana Hughes,,,,False
66:07:00,,,,"Shot by Emory University Natalie Klar, High.",,"Shot by Emory University Natalie Klar, High.",2,,,,Emory,University Natalie Klar,High.,,,,,,,False
--,Foul on Centre College.,,,,,Foul on Centre College.,2,,,,,,,,,,,,,False
67:08:00,,,,"Shot by Emory University Natalie Klar, Wide.",,"Shot by Emory University Natalie Klar, Wide.",2,,,,Emory,University Natalie Klar,Wide.,,,,,,,False
67:22:00,,,,Emory University substitution: Kylie Hall for Melika Mohammadi.,,Emory University substitution: Kylie Hall for Melika Mohammadi.,2,,,,,,,Emory University,Kylie Hall,Melika Mohammadi,,,,False
67:22:00,Centre College substitution: Annie Stauffer for Kristin Dean.,,,,,Centre College substitution: Annie Stauffer for Kristin Dean.,2,,,,,,,Centre College,Annie Stauffer,Kristin Dean,,,,False
68:47:00,,,,"Shot by Emory University Kylie Hall, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Kylie Hall, Save (by goalie) Jonelle Barron.",2,,,,Emory,University Kylie Hall,Save (by goalie) Jonelle Barron.,,,,,,,False
70:01:00,,,,"Shot by Emory University Peyton Robertson, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Peyton Robertson, Save (by goalie) Jonelle Barron.",2,,,,Emory,University Peyton Robertson,Save (by goalie) Jonelle Barron.,,,,,,,False
70:26:00,Centre College substitution: Sarah Sirkin for Meghan Paynter.,,,,,Centre College substitution: Sarah Sirkin for Meghan Paynter.,2,,,,,,,Centre College,Sarah Sirkin,Meghan Paynter,,,,False
71:13:00,,,,"Shot by Emory University Aubrey Blanchard, Team Save.",,"Shot by Emory University Aubrey Blanchard, Team Save.",2,,,,Emory,University Aubrey Blanchard,Team Save.,,,,,,,False
71:27:00,,,,"Shot by Emory University Kylie Hall, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Kylie Hall, Save (by goalie) Jonelle Barron.",2,,,,Emory,University Kylie Hall,Save (by goalie) Jonelle Barron.,,,,,,,False
71:46:00,Centre College substitution: Kristin Dean for Averi Faulk.,,,,,Centre College substitution: Kristin Dean for Averi Faulk.,2,,,,,,,Centre College,Kristin Dean,Averi Faulk,,,,False
71:46:00,Centre College substitution: Meghan Paynter for Annie Stauffer.,,,,,Centre College substitution: Meghan Paynter for Annie Stauffer.,2,,,,,,,Centre College,Meghan Paynter,Annie Stauffer,,,,False
--,,,,Foul on Emory University.,,Foul on Emory University.,2,,,,,,,,,,,,,False
74:49:00,Centre College substitution: Alana Hughes for Rilee Britton.,,,,,Centre College substitution: Alana Hughes for Rilee Britton.,2,,,,,,,Centre College,Alana Hughes,Rilee Britton,,,,False
74:49:00,Centre College substitution: Elizabeth Nelson for Brooke Smithson.,,,,,Centre College substitution: Elizabeth Nelson for Brooke Smithson.,2,,,,,,,Centre College,Elizabeth Nelson,Brooke Smithson,,,,False
75:19:00,"Shot by Centre College Sarah Sirkin, Save (by goalie) Haley Pratt.",,,,,"Shot by Centre College Sarah Sirkin, Save (by goalie) Haley Pratt.",2,,,,Centre,College Sarah Sirkin,Save (by goalie) Haley Pratt.,,,,,,,False
